name,category,price,additional day price,deposit,count,description
Моющий аппарат (автомойка) Karcher K 5.520,Электро-инструмент,900,700,6000,1,"Шланг выс.дав, пистолет, фильтр, шланг 20м., ёмкость 40 л. 16м шланг"
Моющий аппарат (автомойка) Karcher K 7,Электро-инструмент,1000,800,6000,1,"Шланг выс.дав,  пистолет, фильтр, шланг 20м., "
Насос грязевой Karcher CDP 7000,Электро-инструмент,650,500,3000,1,Шланг 50м 150р/сут
Ножницы по металлу Makita JS1600,Электро-инструмент,300,250,3000,1,
Отбойный молоток BOSCH GSH 16-30,Электро-инструмент,2500,2500,10000,1,"Чемодан, пика, смазка"
Отбойный молоток BOSCH GSH 11 Е,Электро-инструмент,2000,1500,10000,1,"Чемодан, пика, смазка"
Пылесос BOSCH GAS 25,Электро-инструмент,750,600,5000,1,Мешки для пылесоса       400р-1шт.
Пылесос BOSCH GAS 15,Электро-инструмент,650,500,5000,1,Мешки для пылесоса       400р-1шт.
"Перфоратор BOSCH, Makita, Dexter",Электро-инструмент,650,500,4000,1,"Чемодан, пика, смазка"
Аккум. Перфоратор Makita DHR 202,Электро-инструмент,850,700,7000,1,"Чемодан, пика, смазка"
Перфоратор Makita 5001С,Электро-инструмент,2000,1500,10000,1,"Чемодан, пика, смазка"
Пила дисковая Makita 5603R,Электро-инструмент,600,500,5000,1,Проверять количество зубьев
Пила торцовочная Makita LH1040,Электро-инструмент,900,800,5000,1,"дерево , аллюминий, пластмасса"
Пила торцовочная BOSCH GCM12,Электро-инструмент,1200,1000,8000,1,"дерево , аллюминий, пластмасса"
Пила цепная Makita UC4530A,Электро-инструмент,1200,900,4000,1,"Цепь 250р., масло 1л. 250р   62 зв, 3/8, 1.3(теперь 56,3/8,1,3)"
Полировальная машина Makita 9227СВ,Электро-инструмент,700,600,5000,1,"Ключ, насадка"
Плиткорез электрический ЗУБР ЗЭП 600Н,Электро-инструмент,450,300,2000,1,"Ёмкость для воды, ключ, уголок"
Плиткорез электрический TSW 200C,Электро-инструмент,850,700,5000,1,"диск 200х25,4 мм"
Рубанок Makita N1923B  Skil ,Электро-инструмент,750,600,3000,1,
Скобозабиватель электрический ,Электро-инструмент,400,300,1500,1,
Сварочный аппарат инвертерный Globus 250,Электро-инструмент,650,500,5000,1,Электроды 30р/ 1 шт
Сварочный полуавтомат QATRO Multi Pro 1700 165A,Электро-инструмент,1000,900,5000,1,"проволока 0,8мм, 1м - 10руб."
Сварочник для ПП труб,Электро-инструмент,450,350,2000,1,Ножницы
Термопистолет Makita HG550VK,Электро-инструмент,600,500,2500,1,"Чемодан, 3 насадки"
Тепловая пушка Ресанта ТЭП 3000 К  ,Электро-инструмент,400,300,2000,1,
Удлинитель 25м,Электро-инструмент,250,150,2000,1,
Удлинитель 20м,Электро-инструмент,350,300,2000,1,
Фрезер Makita RP1110C    Интерскол (патрон 12 мм) ,Электро-инструмент,600,500,5000,1,"Просят только ключ, фреза 150р/сут"
Пила сабельная DEXTER,Электро-инструмент,600,500,4000,1,Пилка 200 р
Реноватор Вихрь МФИ 400,Электро-инструмент,400,300,2000,1,насадки 150р /шт
Шлифмашина ленточная Makita 9911,Электро-инструмент,500,400,4000,1,
Шлифмашина вибрационная Makita ВО3700,Электро-инструмент,400,300,3000,1,
Шлифмашина эксцентриковая Makita ВО5010 ( BOSCH  ),Электро-инструмент,550,400,3000,1,Мешок для пыли
Штроборез BOSCH GNF 65 A,Электро-инструмент,800,700,5000,1,"ключ, 5 шайб, диск 1мм- 300р"
Штроборез Makita SG1250,Электро-инструмент,700,600,5000,1,"ключ, 5 шайб, диск 1мм- 300р"
Шуруповерт Metabo,Электро-инструмент,400,350,4000,1,"Чемодан, 2 акк., зарядное"
Шуруповерт Makita 6805 BV,Электро-инструмент,300,250,2000,1,
Шлифмашина по бетону Makita PC 1100,Электро-инструмент,1500,1200,10000,1,"Диск 2500р, 1 мм -500р"
Полотер  KARCHER BR 400,Электро-инструмент,3000,2000,10000,1,"Моющ ср-во; 10 мл - 10р ,    100 мл -100 р. 1л воды-10мл повсед или 150 мл генер                              Удлинитель не использовать более 20м."
Газовая пушка MASTER guard 30 KW M,Электро-инструмент,600,500,4000,1,"Балон 12 литров- 250 р/сут        5,41кг-пустой баллон,10,2кг- полный,    1л.газа - 0,53кг. 50л балон пустой 22,5 кг 32р/литр 65р/кг"
Горелка газовая кровельная,Электро-инструмент,700,500,3000,1,"Балон 150р., 1 кг-2л газа, 1л -32р, 350р - полный балон 12л балон на 10м2 в 2слоя "
Инфракрасный обогреватель Oasis,Электро-инструмент,600,500,4000,1,
Измельчитель веток Kolner KESH 2800,Электро-инструмент,900,800,5000,1,
Строительный миксер Makita,Электро-инструмент,500,400,3000,1,
Культиватор электрический Huter EMC 1600,Электро-инструмент,900,800,4000,1,
"Резак пропановый, ацетиленовый (малютка)",Ручной инструмент,800,700,4000,1,Кислород 10л -                 40 л -                  Ацетилен 10 л -           Пропан    
Пистолет термоклеящий,Ручной инструмент,150,100,2000,1,
"Болторез, ножницы для резки проволки",Ручной инструмент,250,200,2000,1,
Газовый ключ  ,Ручной инструмент,150,100,2000,1,
Динамометрический ключ DEKO,Ручной инструмент,250,150,1500,1,
Дальномер лазерный Skil 0530AA,Ручной инструмент,200,150,2000,1,
Детектор FIT 3-в-1 56535,Ручной инструмент,300,250,2000,1,
Заклепочник мех.,Ручной инструмент,250,150,2000,1,
Краскопульт ручного действия СО-20,Ручной инструмент,650,450,2000,1,
Краскопульт FIT,Ручной инструмент,400,300,2000,1,
Когти для лазания на столб,Ручной инструмент,400,300,2000,1,
Лазерный (нивелир) построитель плоскостей GEO EL601,Ручной инструмент,450,350,3000,1,"Чемодан, очки в чемодане"
Набор резьбонарезных головок с трещеткой RIDGID R200,Ручной инструмент,450,350,2000,1,
Плиткорез механический "DEXTER" ,Ручной инструмент,450,350,2000,1,
Пирометр(термометр) инфракрасный X-Line pIRo-550,Ручной инструмент,200,150,2000,1,
Каток для газона,Ручной инструмент,600,500,3000,1,
Металлоискатель FISHER F2,Ручной инструмент,700,500,6000,1,Батарейки крона в комплект не входят 300 р 2 шт.
"Набор инструмента Ombra OMT131S, 131 предмет",Ручной инструмент,550,400,4000,1,
Домкрат гидравлический,Ручной инструмент,550,500,2000,1,Высота 400 мм
Домкрат реечный ,Ручной инструмент,700,600,3000,1,
Набор коронок биметаллических,Ручной инструмент,400,300,2000,1,
Стеклодомкрат ,Ручной инструмент,200,100,1000,1,
Пистолет монтажный ПЦ - 84,Ручной инструмент,700,600,4000,1,"Дюпель 30р, патрон 30р"
Распылитель садовый,Ручной инструмент,150,100,1000,1,
Толщиномер покрытий GM200 (RM200),Ручной инструмент,150,100,1000,1,
Лестница,Строительное оборудование,600,500,3000,1,
Лестница-трансформер,Строительное оборудование,600,500,3000,1,
Стремянка,Строительное оборудование,200,150,2000,1,
Леса строительные,Строительное оборудование,400,150,3000,1,"8 секций , 2 комплекта стропил"
"Уровень 2,5 м, 1,2 м",Строительное оборудование,350,250,2000,1,
Лебедка ,Строительное оборудование,500,350,3000,1,
Ёмкость для воды,Строительное оборудование,150,100,2000,1,
GPS трекер 1 (радиомаяк), Быт. техника и Электроника,100,50,3000,1,
GPS трекер GT02+, Быт. техника и Электроника,100,50,3000,1,
Эндоскоп технический 60 см. по, Быт. техника и Электроника,300,250,3000,1,
Громкоговоритель рупорный, Быт. техника и Электроника,300,200,2000,1,
Монтажная подушка, Быт. техника и Электроника,200,100,1000,1,
Моющий пылесос                Karcher SE 4001, Быт. техника и Электроника,900,700,4000,1,Химия 100р/деление
Пароочиститель                  Karcher SC 1.020, Быт. техника и Электроника,600,500,3000,1,Насадка 300р
Воздухоочиститель Супер-Плюс-Турбо, Быт. техника и Электроника,50,20,2000,1,
Швейная машина JANOME V552, Быт. техника и Электроника,400,300,3000,1,
Мойка воздуха Venta LW 45, Быт. техника и Электроника,500,300,9000,1,
СВЧ-печь(микроволновка) SANYO, Быт. техника и Электроника,100,50,3000,1,
Утюг дорожный Scarlett SC-1135S, Быт. техника и Электроника,50,20,2000,1,
Телевизор Prestigio, Быт. техника и Электроника,400,100,5000,1,Антена
Музыкальная колонка, Быт. техника и Электроника,800,700,7000,1,пульт
Караоке  SDRD, Быт. техника и Электроника,500,300,3000,1,
Фотоаппарат NIKON D5000, Быт. техника и Электроника,700,500,5000,1,
Штатив , Быт. техника и Электроника,250,200,2000,1,
Нэтбук DNS, Быт. техника и Электроника,400,300,6000,1,
Эхолот ,Спорт и отдых,800,500,8000,1,
Сапборт,Спорт и отдых,900,800,4000,1,
Лодка ПВХ SIBRIVER МАНА-260,Спорт и отдых,800,700,5000,1,
Лодка ПВХ CONDOR IB 285,Спорт и отдых,1000,800,5000,1,
Чехол для подводной съёмки,Спорт и отдых,100,50,2000,1,
Подводные маски,Спорт и отдых,30,10,1000,1,3 шт.
Рюкзак Медведь-80,Спорт и отдых,250,150,2000,1,4 шт.
Спальный мешок,Спорт и отдых,200,100,1000,1,4 шт.
Коврик туристический,Спорт и отдых,150,50,1000,1,2 шт.
Газовый примус,Спорт и отдых,100,50,1000,1,
Котелок алюминиевый туристический,Спорт и отдых,100,50,1000,1,2 шт.
Палатка ,Спорт и отдых,800  450,600  350,2000,1,1х мест  -  1      2х мест  -  1     3х мест   -   2    4х мест    -  1
Печь мини дров для палатки,Спорт и отдых,600,400,4000,1,"труба 7шт, решетка, шумовка, крышка"
Солярогаз,Спорт и отдых,400,300,2000,1,
Матрац Intex,Спорт и отдых,350,250,1000,1,
Шатер 3*3,Спорт и отдых,800,700,3000,1,"Проверять трубки стопоры, и комплектацию, инструкцию"
Самовар на дровах,Спорт и отдых,600,400,3000,1,
Гамак,Спорт и отдых,150,100,1000,1,
Торговая палатка  2х3,Спорт и отдых,800,700,4000,1,
"Барбекю, мангал, казан, …",Спорт и отдых,100,50,1000,1,
Кресло складное туристическое,Спорт и отдых,150,100,1000,1,4 шт + 1 шт трехногий
Стол складной туристический,Спорт и отдых,150,100,1000,1,2 шт
Жилет спасательный,Спорт и отдых,300,200,1000,1,5 шт.
Дет. Снегокат,Спорт и отдых,100,50,2000,1,
Велосипед,Спорт и отдых,900,800,5000,1,"1 ч   - 250 р                   день, ночь - 700 р"
Велосипед ,Спорт и отдых,1000,800,5000,1,"1 ч   - 250 р                   день, ночь - 700 р"
Велосипед STERN ATTAC 20 ,Спорт и отдых,800,600,3000,1,
Ролики,Спорт и отдых,500,400,2000,1,29-33        37                                            38-41        40                               35-35        41                                39-42
Защита для роликов,Спорт и отдых,150,100,1000,1,2 комплекта
Снегоступы Baldas,Спорт и отдых,700,500,6000,1,
Горные лыжи ,Спорт и отдых,900,800,5000,1,"Размеры; 29-30, 33-34,35-36, 37, 41-42, 43- 44   чехол для лыж 150р. Очки 100р"
Беговые лыжи,Спорт и отдых,500,300,2000,1,"Дер 205,200 (42,44р)                                    150 см, 180,190,205(авт41р)                                                32,36,37,38,39,40,41,42,43,44                        палки - 100,120,130,135,140                                 3000 р. - месяц                                 1200 р. - неделя, 2000р- 2 нед"
Сноуборд,Спорт и отдых,1000,800,5000,1,"Размеры;  150 см 45-46р, 42р                                     1) 160 см -42р. 140см- 38-39р                                     2) 120 см - 36 р.140см         3) 160 см - 43р 2 шт"
Коньки,Спорт и отдых,400,300,2000,1,"Размеры; 33-36,5р. 41-42р, 30-33р , 34р"
Шлем мотоциклетный,Спорт и отдых,250,150,3000,1,2 шт.
Санки надувные тюбинг (бублик),Спорт и отдых,300,150,2000,1,
Крепление для лыж на багажник автомобиля,Спорт и отдых,400,300,2000,1,
Велокресло детское,Спорт и отдых,250,150,2000,1,
Весы для новорожденных,Дети,250,100,3000,1,
Кроватка-манеж GRACO,Дети,400,100,3000,1,
Коляска-трость Geoby D288-A70,Дети,500,200,2000,1,
Автокресло детское Marco Polo.,Дети,250,150,2000,1,
Коляска GEOBYДетская коляска Geoby B2000MG-X,Дети,500,200,2000,1,
Автолюлька Recaro Young Profi,Дети,150,50,2000,1,
Многофункциональный стул-трансформер для кормления ,Дети,100,50,3000,1,
Сумка слинг для новорожденных,Дети,50,30,2000,1,
Дет. Снегокат,Дети,100,50,2000,1,
